12429,手机游戏、手机游戏--跑酷游戏,1698;4618;8128;4028;7705;4859;4807;7128;8714;14458,酷跑超人-奥特曼;喜羊羊快跑;奔跑吧兄弟;熊出没2-萌宠炫飞;海绵宝宝大冒险;猪猪侠向前冲;开心酷跑-圣诞狂欢;天天风之旅;大头儿子大冒险;奔跑吧兄弟-我是车神
6289,手机游戏、手机游戏--休闲游戏,2475;8683;105596;106612;2217;10469;5254;5231;4958;105795,捕鱼达人2;跳跃忍者;见缝插针;糖果粉碎苏打传奇;史上最难强迫症游戏;史上最牛的游戏2;愤怒的小鸟-变形金刚;会说话的狗狗本;找你妹;泡泡龙亚特兰蒂斯
6291,手机游戏、手机游戏--体育游戏,15068;29318;28451;115882;17278;100162;5249;13659;8047;107571,真实滑板;滑雪大冒险中国风;梦幻足球联盟;台球大师;8球台球;火柴人足球2014;NBA 2K13;我爱台球;胜利足球;FIFA 15-终极队伍
10390,手机游戏、手机游戏--卡牌游戏,10754;10962;7372;119320;103937;7565;9330;5347;13593;4154,我叫MT;放开那三国;傲世西游;究极数码世界;仙剑奇侠传;欢乐西游;全民水浒;我叫MT2;最强王者;天魔幻想
20639,手机游戏、手机游戏--休闲游戏,15143;2630;15955;5271;16766;100552;5725;108629;8019;33824,厕所大冒险;全民泡泡大战;农场英雄传奇;爸爸去哪儿2;切水果消消乐;天天打波利;全民连连消;糖果联机;3D桌球;熊猫泡泡
4259,手机游戏、手机游戏--动作游戏,116078;550;1715;18989;1465;10247;6326;8674;7881;984,崩坏3;地铁跑酷;天天炫斗;神庙逃亡-勇敢传说;火柴人联盟;超凡蜘蛛侠2;火柴人2015;愤怒的老奶奶跑酷;跑酷老奶奶;崩坏学园2
6309,手机游戏、手机游戏--角色扮演,119790;124144;40620;13795;9130;124154;9156;9856;100272;107943,镇魔曲;奇迹-觉醒;罪恶都市;漫威-未来之战;花千骨;fate/GrandOrder(命运-冠位指定);天龙八部3D-万代宗师;虚荣;异形大战铁血战士-进化(完美版);天下
2217,手机游戏、手机游戏--休闲游戏,5109;2475;8683;105596;106612;6289;10469;5254;5231;4958,老爸曾是小偷;捕鱼达人2;跳跃忍者;见缝插针;糖果粉碎苏打传奇;愤怒的小鸟2-猴年套装;史上最牛的游戏2;愤怒的小鸟-变形金刚;会说话的狗狗本;找你妹
4269,手机游戏、手机游戏--策略游戏,6766;100724;7808;5696;6818;10379;10157;8422;12188;10037,天天来塔防;丧尸之战;坦克前线-帝国OL;横扫千军;战舰帝国-舰队对战;三国群英传一;小小指挥官2;坦克前线帝国;城堡突袭2;小小军团
20658,手机游戏、手机游戏--冒险游戏,3215;10094;16065;7212;13640;6503;8869;15909;16389;11206,造梦西游OL;正常的大冒险;地狱边境;滑板少年;忍者突袭;剑与魔法;部落探险;失落之城;冰川时代大冒险;勇者大冒险
6326,手机游戏、手机游戏--动作游戏,1715;18989;1465;4259;10247;8674;7881;984;3766;7546,天天炫斗;神庙逃亡-勇敢传说;火柴人联盟;暗影格斗2;超凡蜘蛛侠2;愤怒的老奶奶跑酷;跑酷老奶奶;崩坏学园2;亡灵杀手-夏侯惇;天天格斗
8375,手机游戏、手机游戏--策略游戏,18216;108764;11113;8882;5429;14619;25937;29660;10191;12416,王国保卫战-起源;沼泽派对;帝国塔防2;巨炮战队;龙骑帝国;战警-大国崛起;混沌与秩序-英雄战歌;植物僵尸全明星;战争总动员;潮爆三国
4284,手机游戏、手机游戏--棋牌游戏,4345;5460;14417;1221;8700;13185;3533;6992;11574;11297,欢乐大赢家;全民炸翻天;忘忧围棋;二人斗地主;爱掼蛋;快乐斗地主;酷酷斗地主;白金岛跑得快;贵阳麻将-抓鸡;挖坑
6336,手机游戏、手机游戏--动作游戏,6236;4032;36770;3956;17863;5525;33376;3839;15353;31270,三国之刃;六龙争霸3D;全民斗战神;全民无双;宫爆-老奶奶家族篇2;热血奥特超人;暗黑黎明;超级飞侠-飞机跑酷;无尽之剑命运;向量跑酷
20672,手机游戏、手机游戏--休闲游戏,5598;21767;11218;7550;5321;21661;10765;22588;659;32061,全民大消除;涂鸦跳跃;找你妹2;泡泡龙-喵星人来袭;果冻消消乐;捕鱼达人土豪金;糖果大爆炸;会说话的圣诞老人;消灭星星2015;蠢蠢的死法
